Target;Epochs_Total;Time;Find_in_Generation;Delta_Value_Found
800;100;0,279;23;0
800;100;0,279;24;0
800;100;0,148;12;0
800;100;0,563;47;0
800;100;0,201;17;0
800;100;0,28;24;0
800;100;0,828;72;0
800;100;0,247;21;0
800;100;0,373;32;0
800;100;0,349;28;0
800;100;0,337;26;0
800;100;0,661;48;0
800;100;0,679;51;0
800;100;0,391;30;0
800;100;0,305;19;0
800;100;0,328;23;0
800;100;0,961;82;0
800;100;0,261;21;0
800;100;0,195;16;0
800;100;0,248;21;0
800;100;0,382;32;0
800;100;0,63;51;0
800;100;0,222;18;0
800;100;0,205;17;0
800;100;0,314;27;0
800;100;0,655;54;0
800;100;0,52;43;0
800;100;0,172;14;0
800;100;3,158;89;0
800;100;1,771;54;0
800;100;0,553;18;0
80000;100;1,703;81;8
80000;100;1,992;45;7
80000;100;2,084;33;36
80000;100;1,983;79;19
80000;100;1,876;25;5
80000;100;1,383;87;20
80000;100;1,688;91;8
800000;100;1457,036;89;72364698
80;500;0,012;1;0
90;500;0,002;0;0
1000;500;0,26;29;0
1000;500;29,561;348;3402
1000;500;4,38;18;2
1000;500;0,247;27;0
1000;500;0,011;1;0
1000;500;0,323;38;0
1000;500;0,019;2;0
1000;500;0,01;1;0
1000;500;0,106;12;0
1000;500;0,497;58;0
1000;500;0,01;1;0
1000;500;0,186;21;0
1000;500;0,181;21;0
1000;500;0,01;1;0
1000;500;0,854;99;0
40;500;0,001;0;0
40;500;0,01;1;0
40;500;0,001;0;0
40;500;0,002;0;0
40;500;0,002;0;0
40;500;0,001;0;0
40;500;0,001;0;0
500;500;0,144;12;0
5000;500;1,423;143;0
1000;500;0,458;51;0
500;100;0,101;10;0
6000;100;1,024;48;1
400;100;0,703;47;0
20;100;0,002;0;0
90;500;0,002;0;0
90;500;0,002;0;0
50;100;0,001;0;0
50;500;0,003;0;0
50;100;0,001;0;0
100;500;0,023;2;0
4;100;0,002;0;0
70;500;0,048;3;0
4;100;0,001;0;0
4;100;0,001;0;0
4;100;0,001;0;0
100;500;0,02;2;0
100;500;0,173;17;0
80;100;0,078;7;0
10000;100;0,906;16;1
10000;100;0,951;12;3
10000;500;4,708;48;1
200000;500;4,977;340;8
30000;500;4,701;498;3
50000;500;2,312;260;0
20000;500;3,172;219;0
60000;500;1,315;148;0
10;500;0,012;1;0
500;500;0,127;14;0
50000;500;4,356;127;1
500000;500;4,331;444;3
500;500;0,607;69;0
500;500;0,119;13;0
12345;500;1,825;213;0
40000;500;4,904;302;1
1000000;500;5,148;247;28
983467;500;5,553;481;13
983467;500;5,481;438;2
30;500;9,189;17;160
5050050;500;4,69;418;140
5050050;500;4,619;218;84
